date,strategy,gross_return,transaction_cost,net_return,turnover,number_of_holdings,average_predicted_probability
2025-04-30,baseline_rf_top_k,0.11013215255914396,0.0006,0.10953215255914396,0.6,10,0.5780301305745512
2025-04-30,optimised_rf_top_k,0.11055690132528767,0.0006,0.10995690132528767,0.6,10,0.5623071408488957
2025-05-31,baseline_rf_top_k,0.05905217520605282,0.0009999999999999998,0.05805217520605282,0.9999999999999999,10,0.5149572302911134
2025-05-31,optimised_rf_top_k,0.05324380789164329,0.0012,0.05204380789164329,1.2,10,0.5054985437549291
2025-06-30,baseline_rf_top_k,0.05458953545441222,0.0009999999999999998,0.05358953545441222,0.9999999999999999,10,0.5562798696176072
2025-06-30,optimised_rf_top_k,0.049732045655317865,0.0006,0.04913204565531786,0.6,10,0.5658328070605679
2025-07-31,baseline_rf_top_k,-0.012032232397158771,0.0006,-0.012632232397158771,0.6,10,0.5708595111265367
2025-07-31,optimised_rf_top_k,0.011611192268021603,0.0006,0.011011192268021603,0.6,10,0.5791029064183516
2025-08-31,baseline_rf_top_k,0.04410816955962256,0.0006,0.043508169559622556,0.6,10,0.5615228790192556
2025-08-31,optimised_rf_top_k,0.039514457274627116,0.0007999999999999999,0.03871445727462711,0.7999999999999999,10,0.5686308027468464
2025-09-30,baseline_rf_top_k,0.11067730909320508,0.0007999999999999999,0.10987730909320509,0.7999999999999999,10,0.5602083879924497
2025-09-30,optimised_rf_top_k,0.08472482498716358,0.0006,0.08412482498716357,0.6,10,0.5518396380381856
2025-10-31,baseline_rf_top_k,-0.012876586897524528,0.0006,-0.013476586897524527,0.6,10,0.5648828941614179
2025-10-31,optimised_rf_top_k,-0.022042889598968385,0.0009999999999999998,-0.023042889598968386,0.9999999999999999,10,0.5643967265481027
2025-11-30,baseline_rf_top_k,0.002656198011549458,0.0007999999999999999,0.0018561980115494579,0.7999999999999999,10,0.5662564627770637
2025-11-30,optimised_rf_top_k,0.008265082019881059,0.0007999999999999999,0.007465082019881058,0.7999999999999999,10,0.5512561689899923
2025-12-31,baseline_rf_top_k,0.06859480321708729,0.0009999999999999998,0.06759480321708729,0.9999999999999999,10,0.5612419318005456
2025-12-31,optimised_rf_top_k,0.07073415126026711,0.0009999999999999998,0.06973415126026711,0.9999999999999999,10,0.566208111919312
2026-01-31,baseline_rf_top_k,-0.010013355758369008,0.0006,-0.010613355758369008,0.6,10,0.5656534359420048
2026-01-31,optimised_rf_top_k,-0.012049512506620973,0.0007999999999999999,-0.012849512506620973,0.7999999999999999,10,0.5559502802421895
2026-02-28,baseline_rf_top_k,-0.048150445849706215,0.0007999999999999999,-0.04895044584970622,0.7999999999999999,10,0.6055409640292808
2026-02-28,optimised_rf_top_k,-0.04815044584970622,0.0006,-0.048750445849706225,0.6,10,0.6214851522688479
2026-03-31,baseline_rf_top_k,0.17235434763089727,0.0006,0.17175434763089728,0.6,10,0.5974014946978898
2026-03-31,optimised_rf_top_k,0.1723543476308973,0.0006,0.1717543476308973,0.6,10,0.6019014623869412
2026-04-30,baseline_rf_top_k,0.027086064398328454,0.0006,0.026486064398328454,0.6,10,0.5729853539732563
2026-04-30,optimised_rf_top_k,0.08169814660076671,0.0006,0.08109814660076671,0.6,10,0.5799233583448984
2026-05-31,baseline_rf_top_k,-0.09024072974946223,0.0006,-0.09084072974946224,0.6,10,0.5765679185957584
2026-05-31,optimised_rf_top_k,-0.0953347394802351,0.0004,-0.0957347394802351,0.4,10,0.5687386554201843
2026-06-30,baseline_rf_top_k,-0.017185033163925438,0.0006,-0.017785033163925438,0.6,10,0.5898537740147677
2026-06-30,optimised_rf_top_k,0.004419858538750055,0.0009999999999999998,0.0034198585387500546,0.9999999999999999,10,0.5787023977211381
